id_point;nom;type;altitude;latitude;longitude;état;nombre de place
4206;La ferme du Danay;refuge gardé;1561;45.92261;6.44207;;19
6068;Refuge de Spée;refuge gardé;1470;45.9942387306067;6.37143145955633;;35
164;Refuge du Parmelan (ou Camille Dunant);refuge gardé;1825;45.946188928361;6.24007344245911;;49
393;Refuge de Lessy;refuge gardé;1760;45.99028;6.43988;;19
362;Refuge de Larrieux;refuge gardé;1532;45.8651;6.2696;;35
170;Refuge de la Pointe Percée ou Gramusset;refuge gardé;2162;45.95551;6.54424;;48
3134;Refuge de Mayères;refuge gardé;1600;45.95007;6.58719;;50
165;Refuge de la Tournette (ou Blonay Dufour);refuge gardé;1774;45.828;6.2764;Fermé;0
1506;Refuge de La Sure;refuge gardé;1306;45.23004;5.58141;Fermé;20
4385;Refuge des Narces;refuge gardé;1300;45.1048;5.51509;;12
2255;Refuge d'Archiane;refuge gardé;784;44.74615;5.5044;;30
1031;Auberge de Combeau;refuge gardé;1370;44.7655;5.56706;;18
4351;Refuge du Lac de la Grande Léchère;refuge gardé;1680;45.40695;6.31091;;38
58;L'Oule ou Antoine Cros;refuge gardé;1840;45.31417;6.13539;;19
57;Gîte d'alpage / Refuge de la Combe Madame;refuge gardé;1784;45.26474;6.11402;;22
10;Refuge du Pré du Mollard;refuge gardé;1740;45.18915;5.93554;;15
3;Refuge de la Pra;refuge gardé;2109;45.16128;5.94438;;74
14;Refuge Jean Collet;refuge gardé;1960;45.19242;5.96736;;34
397;Refuge des Mottets;refuge gardé;1870;45.73732;6.77916;;50
376;Refuge Torino;refuge gardé;3375;45.84514;6.93378;;212
1590;Refuge Monzino;refuge gardé;2561;45.79944;6.88452;;55
365;Refuge Gonella;refuge gardé;3072;45.81924;6.83236;;24
315;Refuge de l'Envers des Aiguilles;refuge gardé;2523;45.89998;6.92768;;58
374;Refuge Dalmazzi;refuge gardé;2590;45.89396;7.04056;;30
237;Refuge du Plan de l'Aiguille;refuge gardé;2207;45.90558;6.88272;;35
339;Refuge Durier;refuge gardé;3389;45.82541;6.81177;;24
338;Refuge des Conscrits;refuge gardé;2602;45.7869;6.7659;;90
2444;Cabane de l'A Neuve;refuge gardé;2735;45.94878;7.0669;;28
2441;Cabane  du Trient;refuge gardé;3170;45.99956;7.04355;;128
317;Refuge d'Argentière;refuge gardé;2771;45.94636;7.00457;;91
2442;Cabane d'Orny;refuge gardé;2811;46.00191;7.06278;;90
316;Refuge Albert 1er;refuge gardé;2706;45.99675;6.98663;;140
384;Refuge Elisabetta;refuge gardé;2185;45.767;6.83745;;80
347;Refuge Robert Blanc;refuge gardé;2750;45.7653;6.7744;;45
1047;Refuge du Nid d'Aigle;refuge gardé;2372;45.856;6.7995;;20
2443;Cabane de Saleinaz;refuge gardé;2691;45.97644;7.07031;;48
340;Refuge Plan-Glacier;refuge gardé;2730;45.83234;6.79651;;25
239;Refuge de Leschaux;refuge gardé;2431;45.89439;6.98098;;22
143;Refuge du Couvercle;refuge gardé;2687;45.91023;6.96533;;128
328;Refuge de Tête-Rousse;refuge gardé;3167;45.8549214005732;6.81751549243927;;72
335;Refuge du Goûter;refuge gardé;3835;45.8510132013015;6.83044910430908;;120
2900;Chalet des Grands-Dessus;refuge gardé;2113;46.02297;7.00478;;15
350;Refuge de Tré-la-Tête;refuge gardé;1970;45.79172;6.73502;;85
337;Refuge des Grands-mulets;refuge gardé;3051;45.86661;6.86138;;68
334;Refuge de la Charpoua;refuge gardé;2841;45.9241;6.9552;;12
275;Refuge du Requin;refuge gardé;2516;45.88463;6.9297;;57
344;Refuge de Lognan;refuge gardé;2032;45.97082;6.95671;;30
348;Refuge de la Balme;refuge gardé;1706;45.7575;6.71111;;50
342;Refuge des Cosmiques;refuge gardé;3613;45.8732;6.88582;;145
147;Refuge du Col de la Vanoise;refuge gardé;2516;45.3918;6.7906;;130
427;Refuge de l'Orgère;refuge gardé;1985;45.2292;6.67299;;70
291;Refuge du Plan des Gouilles;refuge gardé;2352;45.44417;6.7432;;40
1125;Refuge du Roc de la Pêche;refuge gardé;1911;45.3278;6.69126;;60
111;Refuge de la Dent Parrachée;refuge gardé;2511;45.26974;6.71909;;40
1597;Refuge de Plaisance;refuge gardé;2170;45.4629;6.7919;;38
400;Refuge des lacs Merlet;refuge gardé;2417;45.36086;6.65168;;14
433;Refuge du Mont Pourri;refuge gardé;2370;45.52802;6.82681;;56
2383;Refuge de la Traye;refuge gardé;1640;45.43036;6.53085;Fermé;12
386;Refuge du Grand Bec;refuge gardé;2405;45.4165;6.7329;;36
401;Refuge de Peclet-Polset;refuge gardé;2474;45.28925;6.6592;;84
500;Refuge du fond d'Aussois;refuge gardé;2338;45.27679;6.70246;;42
2396;Refuge du Saut;refuge gardé;2126;45.3371;6.6323;;25
1917;Refuge de la Glière;refuge gardé;2010;45.43123;6.81403;;32
6072;Refuge du Plan;refuge gardé;1750;45.3573295546172;6.59411820379319;Fermé;0
402;Refuge du Carro;refuge gardé;2760;45.41989;7.12307;;61
1510;Refuge de La Valette;refuge gardé;2590;45.35346;6.72404;;44
283;Refuge de La Martin;refuge gardé;2154;45.5237;6.9;;32
406;Refuge de l'Arpont;refuge gardé;2309;45.3192;6.7931;;92
1175;Refuge du Fond des Fours;refuge gardé;2537;45.4015;6.992;;42
282;Refuge de Turia;refuge gardé;2427;45.5533;6.8734;;20
145;Refuge de la Femma;refuge gardé;2352;45.36276;6.92918;;44
146;Refuge de la Leisse;refuge gardé;2487;45.39684;6.88228;;32
408;Refuge du Plan du Lac;refuge gardé;2385;45.34602;6.83742;;42
2550;Plan de Lombardie;refuge gardé;1784;45.4002;6.4309;;21
1142;Refuge du Vallonbrun;refuge gardé;2272;45.31032;6.93725;;6
321;Refuge de Prariond;refuge gardé;2324;45.45561;7.07102;Fermé;0
319;Refuge de Presset;refuge gardé;2514;45.64826;6.66378;;30
303;Refuge de la Coire;refuge gardé;2062;45.61831;6.60856;;15
267;Refuge du plan de la Lai;refuge gardé;1828;45.6931;6.6692;;19
